# Find lots more stations at http://www.iheard.com
Afterhours.FM (Trance/Progressive), http://at2.ah.fm:80
Bluemars (Ambient), http://207.200.96.225:8020/listen.pls
Bluemars: Cryosleep (Ambient), http://207.200.96.225:8022/listen.pls
Bluemars: Voices Within (Ambient), http://207.200.96.225:8024/listen.pls
Digitally Imported: Chillout, http://listen.di.fm/public3/chillout.pls
Digitally Imported: Chillout Dreams, http://listen.di.fm/public3/chilloutdreams.pls
Digitally Imported: Soulful House, http://listen.di.fm/public3/soulfulhouse.pls
Digitally Imported: Funky House, http://listen.di.fm/public3/funkyhouse.pls
Digitally Imported: Progressive, http://listen.di.fm/public3/progressive.pls
Digitally Imported: Lounge, http://listen.di.fm/public3/lounge.pls
Digitally Imported: PsyChill, http://listen.di.fm/public3/psychill.pls
Electronic Culture, http://www.shouted.fm/tunein/electro-dsl.m3u
Frequence 3 (Pop), http://streams.frequence3.net/hd-mp3.m3u
OEM Radio, http://205.188.215.231:8000/listen.pls
Ragga Kings, http://www.raggakings.net/listen.m3u
SKY.FM: Mostly Classical, http://www.sky.fm/mp3/classical.pls
SKY.FM: Jazz, http://www.sky.fm/mp3/jazz.pls
SKY.FM: Smooth Jazz, http://www.sky.fm/mp3/smoothjazz.pls
SKY.FM: Uptempo Smooth Jazz, http://www.sky.fm/mp3/uptemposmoothjazz.pls
SKY.FM: Best of the 80s, http://www.sky.fm/mp3/the80s.pls
SKY.FM: Salsa, http://www.sky.fm/mp3/salsa.pls
SKY.FM: Simply Soundtracks, http://www.sky.fm/mp3/soundtracks.pls
SKY.FM: Classic Rap, http://www.sky.fm/mp3/classicrap.pls
Slay Radio (C64 Remix), http://www.slayradio.org/tune_in.php/128kbps/listen.m3u
SomaFM: Groove Salad (Chillout), http://somafm.com/startstream=groovesalad.pls
SomaFM: Beat Blender (House), http://somafm.com/startstream=beatblender.pls
SomaFM: Cliq Hop, http://somafm.com/startstream=cliqhop.pls
SomaFM: Sonic Universe (Jazz), http://somafm.com/startstream=sonicuniverse.pls
SomaFM: Tags Trance Trip (Progressive), http://somafm.com/tagstrance.pls
SomaFM: Illinois Street Lounge (Lounge), http://somafm.com/illstreet.pls
SomaFM: Secret Agent (Downtempo), http://somafm.com/secretagent.pls
SomaFM: Covers, http://somafm.com/covers.pls
SomaFM: Digitalis (Rock), http://somafm.com/digitalis.pls
SomaFM: PopTron! (Pop), http://somafm.com/poptron.pls
Virgin Radio (Pop), http://www.smgradio.com/core/audio/mp3/live.pls?service=vrbb
Monkey Radio Groove, http://groove.monkeyradio.org/
The Chill Lounge (Smooth Jazz), http://208.79.238.78:9046/listen.pls
"Accent4, Strasbourg, France (Classical)", http://players.creacast.com/creacast/accent4/playlist.pls
"Österreichischen Rundfunk, Vienna, Austria (Classical)", http://mp3stream3.apasf.apa.at:8000/listen.pls
"Radio Stephansdom, Vienna, Austria (Classical)", http://srvhost24.serverhosting.apa.net:8000/rsdstream128.m3u
"Radio Swiss Classic, Bern, Switzerland (Classical)", http://stream.srg-ssr.ch/rsc_de/mp3_128.asx
"Beethoven Radio, Hartford, Connecticut, New England (Classical)", http://listen.radionomy.com/beethoven-radio
"Bartok Radio, Budapest, Hungary (Classical)", http://stream002.radio.hu/mr3.mp3.m3u
